AVENTURERO;MAZO;CIUDAD1;CIUDAD2;CIUDAD3;CIUDAD4;CIUDAD5;CIUDAD6
ASESINO-NINJA;AS-1;Mariemburgo;Erengrado;Rasetra;Drakenhof;Mariemburgo;---
ASESINO-ASESINO COMUN;AS-2;Fuerte Kaminsky;Hargendorf;Salktalten;Esk;Morgheim;---
BARBARO;BA;Meissen;Norden;Bel-Aliad;Wissemburgo;Altdorf;---
EXJUGADOR DE BLOOD BOWL;BB;Norderingen;Carroburgo;Chaqua;Breder;Averheim;---
BAILARIN GUERRERO;BG;Immelscheld;Mariemburgo;Chotec-Tlax;Bogenhafen;Immelscheld;---
CABALLERO BRETONIANO;CB;Schoppendorf;La Torre Negra;Drakenhof;Steingart;Grimminhagen;---
CHAMAN KISLEVITA-CUERVO;CHA-1;Urskovic;Bogenhafen;Mirka;Rasetra;Praag;---
CHAMAN KISLEVITA-LOBO;CHA-2;Mariemburgo;Grimminhagen;Hergig;Streissen;X;---
CAZARRECOMPENSAS;CR;Nuln;Vitevo;Tlanxla;Nuln;Meissen;---
CAZADOR DE BRUJAS;CZ;Breder;Essen;Praag;Drakenhof;X;---
DRUIDA DE ALBION;DR;Streissen;Chaqua;Altdorf;Urskovic;Norden;---
ELFA DE AVELORN;EA;Mariemburgo;Norderingen;Sokh;Chotec-Tlax;Salktalten;---
ELFO;EL;Averheim;Bogenhafen;Mariemburgo;Chotec-Tlax;Mariemburgo;---
ENANO;EN;Karak-Kadrin;Kurst;Bogenhafen;Karak-Kadrin;X;---
ENANA;ENA;Ekrund;Karak-Kadrin;Vitevo;Fuerte Kaminsky;Karak-Kadrin;---
EXPLORADOR ELFO;EX;Norden;Quetza;Mariemburgo;Bogenhafen;Altdorf;---
FORAJIDO-SALTEADOR;FO-1;Esk;Hargendorf;Axlolt;Streissen;Hargendorf;---
FORAJIDO-LUCHADOR ILEGAL;FO-2;Norden;Nuln;Tlanxla;Mariemburgo;Heideck;---
FORAJIDO-ENMASCARADO;FO-3;Hargendorf;Chotec-Tlax;Hergig;Urskovic;Hergig;---
FORAJIDO-EXMERCENARIA;FO-4;Norden;La Torre Negra;Wissemburgo;Carroburgo;Altdorf;---
GUERRERO DEL CHAOS;GC;Kurst;Altdorf;Lybaras;Middenheim;Heideck;---
HECHICERO;HE;Streissen;Bel-Aliad;Streissen;Drakenhof;Altdorf;---
HALFLING LADRON;HL;Drakenhof;Mariemburgo;Salktalten;Drakenhof;Heideck;---
SEÑOR AENARION;LA;Norden;Chotec-Tlax;Erengrado;Kurst;Norden;---
LOBO DE MAR;LM;Hargendorf;Salktalten;Axlolt;Zandri;Norden;---
LUCHADOR DEL POZO;LP;Struhelspan;Fuerte Denkh;Urskovic;La Torre Negra;Fuerte Denkh;---
ENANO MATADOR;MA;Hargendorf;Itza;Hargendorf;Mirka;Karak-Kadrin;---
MAESTRO CERVECERO;MC;Wissemburgo;Ekrund;Urskovic;Karak-Kadrin;X;---
NOBLE IMPERIAL-NOBLE COMUN;NO-1;Nuln;Karak-Kadrin;Urskovic;Esk;Ferlangen;---
NOBLE IMPERIAL-HIDALGO ESTALIANO;NO-2;Carroburgo;Oyxl;Altdorf;Esk;Breder;---
OGRO;OG;Castillo De Lenkster;Itza;Quetza;Itza;Fuerte Kaminsky;---
SACERDOTE GUERRERO;SG;Altdorf;Middenheim;Praag;Nuln;Altdorf;---
SAMURAI RONIN;SR;Hargendorf;Erengrado;Tlanxla;Hargendorf;Erengrado;Hargendorf;---
VALKIRIA;VALK;Norden;Mariemburgo;Wissemburgo;Erengrado;Axlolt;---
HERMANA DE SIGMAR;HS;Mordheim;Middenheim;Mariemburgo;Nuln;Altdorf;---
